date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
10/27/2022,pl,6,1222437,3DT74w83RPPACZ2TvqX5PY,"['Dawid Podsiadło', 'sanah']","['polish pop', 'talent show']",205600,FALSE,O czym śnisz?
7/5/2018,pt,182,19764,5Dd8YD2T5AsOV9o8np2miQ,['mishlawi'],"['trap tuga', 'hip hop tuga']",174400,FALSE,FMR
12/21/2017,uy,194,7952,4ESTxp7HLpplDNA2n1jhFn,"['Lafame', 'Sebastian Yatra']","['modern salsa', 'colombian pop', 'reggaeton colombiano']",184440,FALSE,Ave María
3/9/2017,se,101,193515,3UDx2hezZFhGk0vUGW65KE,['Linda Pira'],"['swedish trap pop', 'swedish hip hop']",181835,FALSE,Låt dom hata
3/24/2022,no,75,114596,0KgFMP70H5VR9aSBm44XdP,['TIX'],"['eurovision', 'norwegian pop', 'russelater']",206836,FALSE,"Enten Går Det Bra, Ellers Går Det Over"
12/30/2021,tw,179,51619,7qS5awG1zfGCIgTDfQnU1d,"['9m88', 'Layton Wu']","['taiwan pop', 'chinese indie', 'chinese r&b', 'mandopop']",188333,FALSE,A Merry Feeling
3/22/2015,ca,229,3568,5q3l4mYEZBXeeVTNRQfzVq,['Arkells'],"['hamilton on indie', 'canadian rock', 'canadian indie']",213013,FALSE,Come To Light
1/28/2021,nl,72,297347,5tslJ9s2LVkA2nZbvTSObd,"['Josylvio', 'Hef']",['dutch hip hop'],202386,TRUE,Hold Up
2/1/2018,nl,4,1518660,52pYYuXAin5eK1vrrpVtYg,"['Dimitri Vegas & Like Mike', 'Quintino', 'Boef', 'Ronnie Flex', 'Ali B', 'I am Aisha']","['big room', 'tropical house', 'dance pop', 'belgian edm', 'dutch rap pop', 'slap house', 'dutch hip hop', 'electro house', 'progressive electro house', 'dutch edm', 'dutch house', 'belgian dance', 'pop dance', 'dutch rock', 'edm', 'dutch pop']",201714,TRUE,Slow Down
10/4/2018,fr,76,493222,5uNb0ZPaGWBODAiDjZfMeW,['Columbine'],"['rap conscient', 'rap calme', 'french hip hop']",180533,TRUE,Mirador
